"date","season","team1","team2","pointspread","score1","score2","location","overtime","overunder"
"2017/12/17",2017,"tennessee","san francisco",2,23,25,"V",FALSE,44.5
"2017/12/24",2017,"tennessee","la rams",6,23,27,"H",FALSE,46.5
"2017/12/31",2017,"tennessee","j'ville",-2.5,15,10,"V",FALSE,40.5
"2018/01/06",2017,"tennessee","kansas city",8.5,22,21,"V",FALSE,44.5
"2018/01/13",2017,"tennessee","new england",13.5,14,35,"V",FALSE,48
"2017/09/10",2017,"washington","phila.",1,17,30,"H",FALSE,48.5
"2017/09/17",2017,"washington","la rams",3,27,20,"V",FALSE,46
"2017/09/24",2017,"washington","oakland",3.5,27,10,"H",FALSE,53.5
"2017/10/02",2017,"washington","kansas city",7,20,29,"V",FALSE,48.5
"2017/10/15",2017,"washington","s. fran.",-11,26,24,"H",FALSE,46.5
"2017/10/23",2017,"washington","philadelphia",5,24,34,"V",FALSE,49
"2017/10/29",2017,"washington","dallas",2.5,19,33,"H",FALSE,46.5
"2017/11/05",2017,"washington","seattle",7.5,17,14,"V",FALSE,45
"2017/11/12",2017,"washington","minnesota",1.5,30,38,"H",FALSE,41
"2017/11/19",2017,"washington","n. orleans",9,31,34,"V",TRUE,52.5
"2017/11/23",2017,"washington","ny giants",-7.5,20,10,"H",FALSE,44.5
"2017/11/30",2017,"washington","dallas",-1.5,14,38,"V",FALSE,47
"2017/12/10",2017,"washington","la chargers",6,13,30,"V",FALSE,46.5
"2017/12/17",2017,"washington","arizona",-4.5,20,15,"H",FALSE,40.5
"2017/12/24",2017,"washington","denver",-3.5,27,11,"H",FALSE,39.5
"2017/12/31",2017,"washington","ny giants",-4.5,10,18,"V",FALSE,40.5
