"pid","sale_price","sale_date","sale_price_2009","sale_date_2009","total_2024","total_2023"
1,0,1985-11-12,NA,NA,201810,156380
2,150000,2000-03-29,NA,NA,591710,449470
3,781398,2009-08-28,781398,2009-08-28,513870,349580
4,863000,2020-05-04,NA,NA,687750,504560
5,269000,2009-06-30,269000,2009-06-30,45080,6650
6,2095000,2024-08-05,NA,NA,1267000,604380
7,303050,2019-05-13,NA,NA,317800,213710
9,202400,1997-06-30,NA,NA,281330,181580
10,450000,2020-05-01,NA,NA,417060,312900
11,123700,1998-10-02,NA,NA,217840,153020
13,650000,2025-04-01,NA,NA,285320,195090
14,366500,2018-08-16,NA,NA,325220,191170
15,273000,1997-08-28,NA,NA,343840,248850
16,290000,2008-01-04,NA,NA,5600,3920
17,0,1947-03-21,NA,NA,5180,3640
18,0,2023-06-30,NA,NA,6720,5250
19,0,2024-09-12,NA,NA,180530,108080
20,3e+05,2025-07-03,NA,NA,241500,150430
21,48000,2018-10-15,NA,NA,221410,168350
22,115000,2014-11-13,NA,NA,148330,91000
23,285000,2022-05-31,NA,NA,296730,177450
24,290000,2025-02-25,NA,NA,190260,113190
25,0,2003-12-31,NA,NA,197610,119000
26,60000,1996-10-18,NA,NA,177800,119070
27,35000,1998-10-15,NA,NA,81410,24710
28,31000,1998-11-24,NA,NA,66990,18200
29,87000,2023-03-20,NA,NA,66010,17920
30,1,2002-05-02,NA,NA,66010,17920
31,32000,2003-05-30,NA,NA,65240,17710
32,1e+05,2024-02-21,NA,NA,66010,16520
33,40500,2004-06-16,NA,NA,66990,18200
34,34000,2013-04-29,NA,NA,81410,24710
35,0,1989-04-12,NA,NA,81410,24710
36,78000,2021-06-28,81000,2009-08-19,81410,41160
37,110000,2024-02-01,NA,NA,71540,30310
38,80000,2005-10-13,NA,NA,66990,30310
39,65000,2008-09-10,NA,NA,66010,29890
40,96000,2023-03-31,NA,NA,65240,29540
41,70000,2008-01-18,NA,NA,66010,29890
42,46000,2019-12-30,NA,NA,66990,30310
43,64000,2017-12-08,NA,NA,81410,41160
44,124500,2025-06-16,NA,NA,81410,41160
45,1e+05,2023-12-26,NA,NA,66990,30310
46,20000,2002-07-12,NA,NA,66990,30310
47,45000,1993-12-28,NA,NA,86030,43470
48,0,1984-05-29,NA,NA,66990,30310
49,75000,2025-03-24,NA,NA,66990,30310
50,0,2016-06-08,NA,NA,66990,30310
51,105000,2023-04-06,NA,NA,81410,41160
52,62000,2019-10-08,NA,NA,81410,41160
53,1e+05,2024-03-06,NA,NA,66990,30310
54,83500,2021-12-15,NA,NA,66990,30310
55,0,1995-12-13,NA,NA,66010,29890
56,87000,2022-02-28,NA,NA,85470,43190
57,80000,2021-08-20,NA,NA,66990,30310
58,41000,2018-02-28,NA,NA,66990,30310
59,58000,2013-08-26,NA,NA,81410,41160
60,56000,2017-05-04,NA,NA,81410,41160
61,1e+05,2023-12-26,NA,NA,66990,30310
62,65000,2021-10-26,NA,NA,66010,29890
63,25500,2016-07-01,NA,NA,86030,43470
64,75190,2005-08-18,NA,NA,66990,30310
65,37800,2013-04-16,NA,NA,66010,29890
66,86000,2023-03-03,NA,NA,66990,30310
67,0,2022-05-16,NA,NA,81410,41160
68,70000,2014-06-24,75000,2009-06-24,81410,41160
69,1e+05,2023-12-14,NA,NA,66990,30310
70,16000,2000-12-18,NA,NA,66990,30310
71,1e+05,2023-12-26,NA,NA,66010,29890
72,64000,2018-08-02,NA,NA,85470,43190
73,27780,1997-09-19,NA,NA,66990,30310
74,40000,2017-08-30,NA,NA,66990,30310
75,94500,2007-05-09,NA,NA,81410,41160
76,30000,2001-07-11,NA,NA,80220,40530
77,73000,2009-06-01,73000,2009-06-01,66990,30310
78,78500,2023-03-03,NA,NA,66990,30310
79,51504,2014-03-28,NA,NA,87290,44100
80,128000,2025-08-12,NA,NA,66990,30310
81,91500,2007-06-25,NA,NA,66990,30310
82,79900,2005-11-07,NA,NA,66990,30310
83,79500,2009-12-01,79500,2009-12-01,81410,41160
84,215000,2020-11-25,NA,NA,212310,140140
85,225000,2021-03-03,NA,NA,237090,144060
86,4000,2011-02-25,NA,NA,3430,2450
87,195000,2010-06-11,79100,2009-11-06,154280,89530
88,225000,2024-04-29,NA,NA,163940,112350
89,240000,2022-01-03,NA,NA,198100,120120
90,1e+05,2016-08-10,NA,NA,227850,136010
91,181000,2005-03-10,NA,NA,198170,122850
92,85000,1996-12-12,NA,NA,286440,171850
93,265000,2007-06-01,NA,NA,215460,125160
94,0,1900-01-01,NA,NA,2995510,2957430
96,130000,2017-05-22,NA,NA,195580,129010
97,252000,2005-04-14,NA,NA,306040,177660
98,83000,1998-02-23,NA,NA,184170,119350
99,113200,2001-01-30,NA,NA,178570,107590
100,127000,2009-12-04,127000,2009-12-04,146160,96040
101,160000,2008-01-10,NA,NA,190680,119420
102,143000,2023-03-09,95100,2009-07-27,169750,113120
103,160000,2017-07-07,NA,NA,199500,121940
104,272000,2021-12-27,NA,NA,180040,121870
105,108000,2003-10-29,NA,NA,152810,100660
106,0,2005-03-01,NA,NA,200200,125580
107,35000,2003-03-03,NA,NA,344540,214060
108,150000,2017-10-02,NA,NA,147140,94080
109,0,2011-06-13,NA,NA,157570,96180
110,155000,2004-08-16,NA,NA,155050,92890
111,145000,2019-11-19,NA,NA,142730,91210
112,195000,2023-03-13,NA,NA,293510,176890
113,330000,2025-08-05,NA,NA,198590,125370
114,74000,2001-02-01,NA,NA,223930,140420
115,0,2005-01-19,NA,NA,139440,75740
116,225000,2022-11-03,NA,NA,179830,107240
117,0,2015-10-20,NA,NA,204190,131180
118,0,2015-10-20,NA,NA,218050,130060
119,1,2002-10-15,NA,NA,184240,112210
120,235000,2024-03-13,NA,NA,206220,140560
121,119900,2010-02-26,NA,NA,239680,143500
122,260000,2022-11-03,NA,NA,232400,141190
123,90000,2001-08-03,NA,NA,262430,169120
124,289000,2023-12-18,NA,NA,193480,78120
125,239900,2005-07-08,NA,NA,229390,140980
126,475000,2023-08-15,NA,NA,360360,202580
127,185000,2004-09-22,NA,NA,262780,167440
128,150000,2018-09-05,NA,NA,169960,115570
129,106000,1998-07-01,NA,NA,266070,166110
130,150000,2004-11-03,NA,NA,179270,106750
131,280000,2021-01-29,NA,NA,318920,190680
132,30000,1994-03-03,NA,NA,206150,126630
133,0,2022-06-08,NA,NA,54250,39760
135,195000,2020-06-08,NA,NA,243530,153720
136,197700,2020-01-14,NA,NA,217560,143990
137,275000,2024-01-12,NA,NA,182560,121100
138,148000,2015-02-25,NA,NA,204050,129150
139,0,2019-12-26,NA,NA,314370,191240
140,90000,2017-07-11,NA,NA,227220,136990
141,61000,1998-02-03,NA,NA,33390,23590
142,61000,1998-02-03,NA,NA,180530,97090
143,88000,1999-05-24,NA,NA,250530,144970
144,205000,2008-03-17,NA,NA,223510,141610
145,172600,2005-11-07,NA,NA,186550,112910
146,85000,1999-12-27,NA,NA,161280,96810
147,170000,2021-02-10,172000,2009-09-29,161490,94640
148,469900,2025-02-28,NA,NA,345520,208670
149,192500,2017-01-03,NA,NA,301980,189350
150,49160,2008-09-22,NA,NA,334810,205590
151,0,2000-04-12,NA,NA,153440,97860
152,185000,2010-02-26,NA,NA,203700,145250
153,162500,2004-12-13,NA,NA,215600,125370
154,159900,2018-11-08,NA,NA,185570,109760
155,373000,2025-03-05,NA,NA,222740,144900
156,420000,2022-08-09,NA,NA,316890,207480
157,255500,2021-10-28,NA,NA,229460,143080
158,165000,1991-08-28,NA,NA,267400,163240
159,199900,2005-11-15,NA,NA,186900,108010
160,40000,2015-12-21,NA,NA,135730,90720
161,330000,2025-08-11,NA,NA,207340,130550
162,85900,1996-10-11,NA,NA,252000,174650
163,110000,2001-03-21,NA,NA,227850,137760
164,162500,2008-06-24,NA,NA,157430,93660
165,0,1986-08-19,NA,NA,190540,135520
166,75000,1993-08-31,NA,NA,196840,132020
167,0,1987-06-08,NA,NA,186970,125440
168,90000,2015-06-30,NA,NA,158620,104580
169,220500,2025-08-07,NA,NA,160930,114170
170,0,2004-05-21,NA,NA,193550,130340
171,0,2002-08-05,NA,NA,189980,127470
172,90500,1998-10-15,NA,NA,199780,134470
173,85000,1995-10-30,NA,NA,192220,125300
174,0,1941-12-30,NA,NA,3290,2310
175,145000,2010-01-07,168500,2009-07-20,190610,122500
176,93900,1997-07-10,NA,NA,180460,117390
177,187000,2018-08-23,NA,NA,189840,123270
178,225000,2009-05-15,225000,2009-05-15,196070,125440
179,191000,2010-06-15,NA,NA,199150,123760
180,2e+05,2022-02-04,NA,NA,168840,112140
181,0,2006-08-03,NA,NA,215460,139300
182,77660,1999-08-20,NA,NA,158830,112490
183,170000,2020-09-30,157500,2009-04-01,207270,128030
184,0,1992-05-05,NA,NA,283220,176400
185,207500,2016-01-11,NA,NA,248360,154630
186,215000,2019-06-06,NA,NA,211470,130900
187,92500,1999-08-31,NA,NA,180110,102410
188,0,1991-12-10,NA,NA,178360,107380
189,166000,2018-11-05,156600,2009-12-01,181370,107240
190,342500,2023-10-26,NA,NA,265860,185500
191,342500,2023-10-26,NA,NA,253400,153090
193,124000,2002-10-30,NA,NA,229110,127330
194,0,2021-07-12,NA,NA,190680,115990
195,104000,1993-05-28,NA,NA,193060,123270
196,275000,2024-11-05,NA,NA,194110,122360
197,0,1968-09-30,NA,NA,176470,116690
198,168000,2003-07-25,NA,NA,182070,121940
199,182500,2022-01-20,130000,2009-06-10,148190,79170
200,134000,2016-05-23,140000,2009-02-20,193970,128030
201,215000,2017-10-12,NA,NA,224770,146580
202,210000,2018-11-26,NA,NA,294210,148960
203,46500,1997-01-30,NA,NA,197610,115920
204,245000,2006-05-30,NA,NA,189000,113960
205,245000,2006-05-30,NA,NA,11970,8820
206,130000,2009-06-10,130000,2009-06-10,2940,2100
207,0,2006-01-11,NA,NA,205520,125930
208,137500,2001-03-30,NA,NA,331870,205520
209,0,2023-05-18,0,2009-11-09,290710,173460
210,87000,1998-06-26,NA,NA,207340,140280
211,210000,2008-11-20,NA,NA,190120,131390
212,95000,1993-11-08,NA,NA,183470,111020
213,126896,2017-05-15,NA,NA,183260,98070
214,305000,2022-09-13,NA,NA,232330,141050
215,134000,1991-03-26,NA,NA,198450,112280
216,245000,2022-02-23,NA,NA,222390,134330
217,125000,2016-07-18,NA,NA,218470,139860
218,89500,2016-11-23,75000,2009-05-22,156240,103110
219,85000,2010-05-03,NA,NA,141470,85680
220,170000,2010-12-23,NA,NA,178010,118230
221,270000,2024-09-24,NA,NA,162960,90580
222,132000,2009-06-09,132000,2009-06-09,171850,106260
223,0,1981-10-15,NA,NA,226170,135380
224,80000,1996-09-16,NA,NA,196770,109410
225,290000,2005-09-30,NA,NA,329490,197960
226,240000,2023-08-15,NA,NA,149520,90510
227,2e+05,2022-07-19,NA,NA,143150,88200
228,0,2025-04-28,NA,NA,159390,96810
229,86000,1990-02-21,NA,NA,142240,89180
230,96500,2021-07-22,NA,NA,134400,81340
233,0,1983-01-21,NA,NA,206500,138740
234,0,1983-06-21,NA,NA,203910,138320
235,110000,2016-06-17,NA,NA,281890,166180
236,108000,2000-04-25,NA,NA,302960,190540
237,4e+05,2022-01-03,NA,NA,361200,225890
239,245000,2022-01-03,NA,NA,189770,118020
240,0,1997-06-20,NA,NA,181650,112630
241,180000,2013-08-27,NA,NA,328020,202720
242,122500,1993-06-01,NA,NA,264950,181230
243,211000,2007-05-03,NA,NA,201670,110040
244,90000,1991-07-22,NA,NA,170380,109760
245,450000,2016-04-05,NA,NA,5810,2100
246,450000,2016-04-05,NA,NA,170660,96600
247,450000,2017-07-14,NA,NA,8470,4830
248,450000,2017-07-14,NA,NA,29680,16800
249,465000,2025-06-26,NA,NA,249970,152180
250,125000,2009-04-29,125000,2009-04-29,246260,149940
251,525000,2025-03-03,NA,NA,350980,212730
252,319000,2021-06-16,NA,NA,348180,210630
253,0,1985-10-10,NA,NA,30450,27160
254,312000,2020-04-16,NA,NA,356090,203630
255,65000,1998-06-02,NA,NA,178500,107800
256,129000,2015-02-27,NA,NA,195790,121730
257,0,1978-10-13,NA,NA,204120,117390
258,195000,2011-09-19,NA,NA,205450,126140
259,80000,1995-02-03,NA,NA,209090,112840
260,232500,2007-05-17,NA,NA,195510,106680
261,190000,2021-01-27,NA,NA,189560,104440
262,133900,2003-04-10,NA,NA,199570,109410
263,107000,1991-08-30,NA,NA,186200,112840
264,180000,2004-08-02,NA,NA,173530,106960
265,175000,2020-11-19,NA,NA,175700,102060
266,140000,2017-05-16,NA,NA,191520,116270
267,94000,2000-11-14,NA,NA,152180,92960
268,0,1978-10-06,NA,NA,222810,129010
269,131000,2001-08-16,NA,NA,193550,116620
270,320000,2024-09-17,NA,NA,207690,126770
271,180000,2004-06-01,NA,NA,201320,118930
272,192000,2004-08-05,NA,NA,208670,127750
273,96500,2000-03-17,NA,NA,163240,100100
274,114000,2018-03-27,NA,NA,172620,104580
275,174000,2019-06-13,NA,NA,270060,151060
276,130000,1992-06-30,NA,NA,189980,112630
277,350000,2025-03-26,NA,NA,181510,118160
278,180000,2022-09-19,NA,NA,184520,112210
279,0,1987-05-04,NA,NA,194110,117180
280,0,1980-08-27,NA,NA,211750,128100
281,180000,2018-05-21,NA,NA,177240,106960
282,312000,2024-06-27,109000,2009-12-15,189630,109550
283,0,1992-02-06,NA,NA,179270,114310
284,193000,2020-10-20,NA,NA,165340,129430
285,296000,2024-02-28,NA,NA,195440,111090
286,185000,2023-06-28,NA,NA,111930,63560
287,55000,2013-12-10,NA,NA,112840,64260
288,76500,1994-08-08,NA,NA,112280,63700
289,120000,2004-03-31,NA,NA,112280,63910
290,0,1987-09-15,NA,NA,114240,65310
291,151000,2008-12-05,NA,NA,114240,65310
292,102000,2015-07-01,NA,NA,113260,64470
293,199900,2025-07-30,NA,NA,127120,73850
294,150000,2010-05-28,60000,2009-10-07,127120,73850
295,120000,2019-05-09,NA,NA,127120,75810
296,113000,2020-08-25,NA,NA,127120,75810
297,69001,2014-12-24,NA,NA,111930,63350
298,65000,1999-05-13,NA,NA,111930,63350
299,118557,2005-05-11,NA,NA,111580,63000
300,40750,2013-01-29,NA,NA,127120,73850
301,150000,2021-08-02,NA,NA,127120,73850
302,1e+05,2017-09-20,NA,NA,127120,73850
303,59000,2018-06-26,NA,NA,127120,73850
304,1e+05,2019-06-27,NA,NA,112280,63700
305,1e+05,2004-09-10,NA,NA,111720,63420
306,83000,2019-03-26,NA,NA,112280,63700
307,60000,1994-01-14,NA,NA,112280,63700
308,67000,1999-11-02,NA,NA,130410,75810
309,179000,2022-12-29,NA,NA,127120,73850
310,190000,2024-03-12,NA,NA,130410,73850
311,122500,2004-08-31,NA,NA,127120,73850
312,40020,2017-01-10,NA,NA,127120,73850
313,19967,2017-12-22,NA,NA,112700,63980
314,65301,2014-09-02,NA,NA,112280,63700
315,103500,2004-10-14,NA,NA,112350,63770
316,24000,2011-11-10,NA,NA,111720,63420
317,148000,2007-08-03,NA,NA,111720,63420
318,73000,2017-06-09,NA,NA,155120,95900
319,0,1997-09-15,NA,NA,122430,75460
320,85000,2002-12-13,NA,NA,145670,90510
321,0,2019-09-11,NA,NA,130620,80780
322,132500,2005-07-15,NA,NA,115920,70560
323,42500,2017-10-26,NA,NA,115920,70560
324,107000,2019-04-24,NA,NA,124180,75390
325,114900,2004-10-01,NA,NA,115920,70560
326,165000,2007-11-28,NA,NA,138250,85470
327,0,2005-09-30,NA,NA,146020,90790
328,137500,2020-10-16,NA,NA,131950,81340
329,185000,2024-12-03,140000,2009-01-12,122430,75460
330,85000,2017-02-24,NA,NA,122430,75460
331,85000,2012-07-09,NA,NA,121450,75040
332,69500,2001-10-01,NA,NA,116060,71400
333,45000,2001-04-30,NA,NA,120190,74130
334,0,2017-01-19,NA,NA,117530,72310
335,112900,1995-11-28,NA,NA,209860,128170
336,117000,1996-06-27,NA,NA,208880,130410
337,282000,2023-06-20,NA,NA,228620,145110
338,270000,2023-10-16,NA,NA,196770,114730
339,114002,2018-07-16,NA,NA,181510,113680
340,0,1984-12-06,NA,NA,206710,132090
341,0,1979-08-31,NA,NA,200620,123970
342,107000,2025-02-20,NA,NA,61250,33040
343,117500,2025-03-13,NA,NA,61250,33040
344,138000,2021-11-09,NA,NA,61250,22890
345,50000,2022-12-13,NA,NA,38780,22890
346,0,1989-03-10,NA,NA,68530,33040
347,75000,2017-11-01,NA,NA,73920,33040
348,142000,2021-11-09,NA,NA,61250,22890
349,47000,2018-07-26,NA,NA,68530,37170
350,80000,1999-09-22,NA,NA,68530,42770
351,48000,2019-05-15,NA,NA,68600,39550
352,70000,2019-09-27,NA,NA,61250,33040
353,17900,2017-07-28,NA,NA,61250,33040
354,143000,2021-11-09,NA,NA,61250,39550
355,77000,1999-07-26,NA,NA,70000,34300
356,73000,2018-09-21,NA,NA,68530,33040
357,55000,2018-01-17,NA,NA,70000,34300
358,175000,2024-03-26,NA,NA,68530,33040
359,144000,2001-10-04,NA,NA,235340,128170
360,160000,2018-08-31,NA,NA,188790,120400
361,151000,2006-02-06,NA,NA,186550,119280
362,216650,2020-04-03,NA,NA,205170,137900
363,90000,2001-07-31,NA,NA,183050,112420
364,165000,2014-04-15,NA,NA,197330,107800
365,193000,2010-08-09,NA,NA,194950,115710
366,133000,1991-08-16,NA,NA,201460,119910
367,103900,1995-01-23,NA,NA,265020,152600
368,0,2005-08-26,NA,NA,191940,115920
369,255000,2023-09-06,NA,NA,207060,125370
370,240000,2021-12-23,NA,NA,182560,106190
371,179900,2004-07-02,NA,NA,171220,107730
372,0,1963-07-11,NA,NA,75180,27090
373,2730,2000-06-09,NA,NA,14840,8190
374,930000,1997-06-30,NA,NA,82810,49490
375,298700,2024-07-02,NA,NA,212590,110320
376,170000,2021-12-22,NA,NA,172060,104860
377,105000,2003-03-17,NA,NA,94290,85120
378,115000,2004-09-17,NA,NA,94290,85120
379,170000,2025-04-24,NA,NA,90650,81830
380,103400,1991-06-26,NA,NA,94290,85120
381,125000,2021-07-27,92000,2009-03-06,94290,85120
382,175000,2023-08-11,NA,NA,94290,85120
383,119900,NA,NA,NA,94290,85120
384,102200,1991-05-22,NA,NA,94640,85470
385,183900,2023-08-09,NA,NA,94640,85470
386,1e+05,2004-05-13,NA,NA,94640,85470
387,106000,2003-05-13,NA,NA,94640,85470
388,75000,1995-06-16,NA,NA,94640,85470
389,0,2022-10-11,NA,NA,94640,85470
390,79900,1994-08-31,NA,NA,96740,86100
391,79900,1994-08-31,NA,NA,95620,85050
392,139500,2021-01-19,NA,NA,96740,86450
393,121900,2004-11-30,NA,NA,96740,86100
394,85000,2011-01-31,NA,NA,96740,86100
395,205000,2023-07-28,NA,NA,96740,86100
396,202000,2023-11-06,NA,NA,96740,86100
397,103400,2013-01-24,NA,NA,102200,86100
398,115000,2025-06-20,NA,NA,71050,31150
399,63000,2020-09-17,NA,NA,76370,34580
400,115500,2025-06-20,NA,NA,76650,34720
401,48000,2020-10-26,NA,NA,66570,29190
402,89610,2008-04-02,NA,NA,75600,34230
403,27000,2009-07-06,27000,2009-07-06,63000,27580
404,84000,2022-02-18,NA,NA,71820,31430
405,80000,2025-06-20,NA,NA,64540,27720
406,110000,2024-02-22,NA,NA,78400,35490
407,565000,2020-10-26,NA,NA,76510,34650
408,99091,2024-02-22,NA,NA,65940,28910
409,565000,2020-10-26,NA,NA,76650,34720
410,47000,2018-04-24,NA,NA,76510,34650
411,565000,2020-10-26,NA,NA,65800,28840
412,110000,2024-02-22,NA,NA,77070,34930
413,40000,2004-09-07,NA,NA,67830,29680
414,58000,2021-07-27,NA,NA,62860,27510
415,115000,2024-11-22,NA,NA,75880,34370
416,99091,2024-02-22,NA,NA,66360,29050
417,110000,2024-02-22,NA,NA,77140,34930
418,565000,2020-10-26,NA,NA,77910,35280
419,99091,2024-02-22,NA,NA,63070,27650
420,84500,2022-12-21,NA,NA,73850,33460
421,99091,2024-02-22,NA,NA,65870,28840
422,70000,2007-09-04,NA,NA,76650,34720
423,99091,2024-02-22,NA,NA,66080,28980
424,126000,2019-11-15,NA,NA,76790,34790
425,28869,2013-05-10,NA,NA,65940,28910
426,70000,2009-02-18,70000,2009-02-18,76930,34860
427,72000,2008-02-28,NA,NA,67200,29400
428,565000,2020-10-26,NA,NA,76650,34720
429,565000,2020-10-26,NA,NA,67270,29470
430,52000,2018-08-30,NA,NA,76930,34860
431,565000,2020-10-26,NA,NA,66780,29260
432,48000,2018-10-05,NA,NA,79590,36050
433,99091,2024-02-22,NA,NA,65590,28700
434,40000,2019-01-16,NA,NA,76790,34790
435,110000,2023-08-21,NA,NA,75390,34160
436,565000,2020-10-26,NA,NA,76720,34720
437,110000,2024-02-22,NA,NA,77280,35000
438,136000,2024-07-24,NA,NA,83160,34580
439,80000,2025-06-20,NA,NA,67900,29750
440,25000,1995-11-03,NA,NA,78120,35350
441,565000,2020-10-26,NA,NA,63560,27860
442,0,1988-05-23,NA,NA,74480,33740
443,25500,2002-12-09,NA,NA,66150,28980
444,112000,2023-05-02,NA,NA,80010,36190
445,51500,2006-09-12,NA,NA,65240,28560
446,114000,2024-05-02,NA,NA,74620,33810
447,36500,2017-01-06,NA,NA,63560,27860
448,126000,2019-11-15,NA,NA,78680,35630
449,75000,2007-11-09,NA,NA,63560,27860
450,8000,1994-08-26,NA,NA,67270,29470
451,85000,2005-12-01,NA,NA,80430,36400
452,0,1994-12-08,NA,NA,78330,35140
453,35000,2021-12-29,NA,NA,66640,29190
454,99091,2024-02-22,53000,2009-05-01,67480,29540
455,30000,2000-12-28,NA,NA,77350,35000
456,25000,2000-11-29,NA,NA,63420,27790
457,112000,2024-12-17,NA,NA,75460,34160
458,110000,2024-02-22,NA,NA,75950,34370
459,99091,2024-02-22,NA,NA,64750,28350
460,565000,2020-10-26,NA,NA,62300,27300
461,50000,2020-10-27,NA,NA,73920,33460
462,61000,2024-03-15,NA,NA,62020,27160
463,99091,2024-02-22,NA,NA,65030,28490
464,126000,2019-11-15,NA,NA,76930,34860
465,16001,1999-12-29,NA,NA,65030,28490
466,127000,2024-10-31,NA,NA,82810,34790
467,84500,2022-12-21,NA,NA,77910,35280
468,99091,2024-02-22,60000,2009-10-01,64890,28420
469,64000,2021-12-29,NA,NA,75810,34300
470,76500,2022-07-21,NA,NA,66570,29190
471,53750,2020-10-27,NA,NA,76650,34720
472,99091,2024-02-22,50000,2009-12-02,66500,29120
473,0,1990-11-14,NA,NA,76650,34720
474,110000,2024-10-01,NA,NA,67480,28770
475,110000,2024-02-22,NA,NA,77420,35070
476,45000,2006-05-25,NA,NA,65100,28560
477,0,1993-08-02,NA,NA,77420,35070
478,0,1941-10-30,NA,NA,4760,2660
479,65000,2017-07-13,NA,NA,159810,99470
480,2e+05,2023-01-30,NA,NA,155050,101010
481,149000,2022-12-30,NA,NA,190050,118090
482,3e+05,2021-05-07,NA,NA,201600,139510
483,0,2021-03-01,NA,NA,191590,123270
484,6500000,2021-03-24,NA,NA,69440,37030
485,6500000,2021-03-24,NA,NA,113120,60480
486,6500000,2021-03-24,NA,NA,111580,59710
487,6500000,2021-03-24,NA,NA,111580,59710
488,6500000,2021-03-24,NA,NA,113120,60480
489,6500000,2021-03-24,NA,NA,60970,31290
490,6500000,2021-03-24,NA,NA,113680,60760
491,6500000,2021-03-24,NA,NA,103180,52920
492,6500000,2021-03-24,NA,NA,135450,72660
493,6500000,2021-03-24,NA,NA,104720,53690
494,6500000,2021-03-24,NA,NA,79730,40880
495,6500000,2021-03-24,NA,NA,86870,46060
496,6500000,2021-03-24,NA,NA,86870,46060
497,6500000,2021-03-24,NA,NA,111580,59710
498,6500000,2021-03-24,NA,NA,122430,65450
499,6500000,2021-03-24,NA,NA,121240,63070
500,6500000,2021-03-24,NA,NA,113120,60480
501,6500000,2021-03-24,NA,NA,113120,60480
502,6500000,2021-03-24,NA,NA,66010,33880
503,6500000,2021-03-24,NA,NA,111580,59710
504,6500000,2021-03-24,NA,NA,113120,60480
505,6500000,2021-03-24,NA,NA,81690,41860
506,6500000,2021-03-24,NA,NA,64610,33110
507,6500000,2021-03-24,NA,NA,111580,59710
508,6500000,2021-03-24,NA,NA,113120,60480
509,6500000,2021-03-24,NA,NA,76020,38990
510,6500000,2021-03-24,NA,NA,114170,61040
511,6500000,2021-03-24,NA,NA,113120,60480
512,38000,1998-08-04,NA,NA,166670,83230
513,112500,2015-03-17,NA,NA,161140,91630
514,350000,2021-04-15,NA,NA,3920,840
515,165000,2021-03-24,NA,NA,210140,129360
516,90000,1995-12-29,NA,NA,192080,123690
517,84900,2001-09-06,NA,NA,158900,101220
518,67900,1998-12-01,NA,NA,161910,108430
519,228888,2021-09-17,NA,NA,175980,112070
588,319300,2007-12-04,NA,NA,229110,137130
589,188000,2015-03-20,NA,NA,255710,161630
590,235000,2021-07-20,NA,NA,182350,109130
591,225000,2009-11-03,225000,2009-11-03,251860,153860
592,139900,2015-10-01,137000,2009-08-25,175840,102410
593,165000,2008-10-28,NA,NA,182980,121520
594,0,2016-03-07,NA,NA,178360,110880
595,120750,2002-07-31,NA,NA,158410,101500
596,265000,2023-12-20,NA,NA,182910,110880
597,150000,2008-07-02,NA,NA,180670,104020
598,176000,2010-05-06,NA,NA,242760,149170
599,0,1980-12-02,NA,NA,244580,136990
600,65000,1994-03-31,NA,NA,255360,150710
601,118000,1996-02-29,NA,NA,300720,181020
602,40103,2015-01-29,NA,NA,155400,100520
603,250000,2003-10-24,NA,NA,347130,208180
604,180000,2004-01-23,NA,NA,253610,140770
605,105000,2017-05-22,NA,NA,175630,111020
606,136000,2016-11-01,71000,2009-12-14,195650,126070
607,185000,2021-11-09,NA,NA,227220,134540
608,245000,2019-06-10,40000,2009-09-10,306040,181440
609,77000,1994-05-02,NA,NA,186550,105070
610,90708,2018-08-08,NA,NA,160370,104300
611,0,2017-07-07,NA,NA,148750,88270
612,115000,2012-12-31,NA,NA,187180,119980
613,110000,2013-11-18,NA,NA,177380,109900
614,295000,2007-08-17,NA,NA,253260,152320
615,91500,1999-11-01,NA,NA,248010,147000
616,360000,2023-06-30,NA,NA,230580,138670
617,108000,2003-06-09,NA,NA,182140,97930
618,0,1985-12-17,NA,NA,167090,99680
619,251000,2023-11-22,NA,NA,178080,103810
620,158000,2003-03-31,NA,NA,209860,125440
621,81500,1997-02-28,NA,NA,166460,107940
622,77000,1999-09-30,NA,NA,154980,101990
623,85000,2000-12-04,NA,NA,177450,112280
624,439000,2025-02-24,NA,NA,195300,117250
625,403000,2024-08-05,NA,NA,217210,117530
626,330000,2023-05-26,NA,NA,239190,162400
627,170000,2022-03-22,NA,NA,202510,124040
628,0,1989-08-28,NA,NA,169050,110600
629,155300,2004-05-05,NA,NA,220780,132720
630,215000,2022-08-23,NA,NA,183610,95550
631,220000,2020-08-20,NA,NA,240240,142590
632,295000,2020-06-19,NA,NA,262080,170520
633,3e+05,2022-11-14,NA,NA,222670,133770
634,145000,2009-09-21,145000,2009-09-21,179900,111020
635,59000,2012-09-06,NA,NA,160300,101430
636,0,2003-08-22,NA,NA,194670,130270
637,210000,2021-03-09,NA,NA,176540,111230
638,340000,2025-08-05,NA,NA,236600,180810
639,210000,2004-12-08,NA,NA,212170,134050
640,169200,2005-02-16,NA,NA,179130,116970
641,225500,2021-01-25,144610,2009-09-25,202230,130200
642,157000,2017-03-29,NA,NA,164640,108990
643,196500,2021-02-03,NA,NA,253610,167440
644,159000,2012-12-26,NA,NA,167300,113960
645,140000,2011-03-28,NA,NA,161980,104650
646,0,2015-09-09,NA,NA,185080,114240
647,165000,2021-04-08,NA,NA,192010,114730
648,155000,2017-04-18,155000,2009-12-04,185290,121380
649,174500,2009-09-02,174500,2009-09-02,194390,128870
650,115000,2012-04-16,NA,NA,195090,119560
651,226600,2017-05-01,NA,NA,304150,179550
