"pid","sale_price","sale_date","sale_price_2009","sale_date_2009","total_2024","total_2023"
12162,262450,2020-09-24,NA,NA,223300,167650
12163,143500,1993-02-01,NA,NA,232820,150430
12164,296000,2021-07-27,NA,NA,193480,125930
12165,310000,2022-05-27,NA,NA,213080,128380
12166,208000,1992-07-08,NA,NA,293090,190260
12167,133500,1994-03-31,NA,NA,269290,165550
12168,0,2018-03-01,NA,NA,284970,192920
12169,0,2025-03-24,NA,NA,270480,213430
12170,50000,2018-04-02,NA,NA,200130,122290
12171,1e+05,1998-12-01,NA,NA,200200,127400
12172,0,2024-12-23,NA,NA,207690,133770
12173,175000,1998-11-09,NA,NA,314370,208040
12174,0,2013-08-23,NA,NA,257110,171920
12175,295325,2019-08-26,NA,NA,249970,169610
12176,310000,2013-06-20,NA,NA,278460,182700
12177,247900,2018-09-04,NA,NA,256900,162890
12178,350000,2023-12-29,NA,NA,239190,159880
12179,225000,2017-01-24,NA,NA,231420,149170
12180,250000,2020-07-02,NA,NA,239750,165270
12181,135000,1996-10-18,NA,NA,266490,194110
12182,0,2022-10-13,NA,NA,249060,156590
12183,143500,1995-10-03,NA,NA,242970,154070
12184,265000,2003-06-18,NA,NA,236740,150990
12185,137000,1994-03-01,NA,NA,235340,153370
12186,207500,2011-03-16,NA,NA,243670,162050
12187,0,2000-03-27,NA,NA,235830,151130
12188,312000,2020-10-19,NA,NA,293230,226240
12189,216000,2005-02-02,NA,NA,230720,130340
12190,374000,2023-05-09,NA,NA,284200,181370
12191,179000,2016-10-04,NA,NA,240100,157850
12192,0,1988-08-01,NA,NA,206220,124250
12193,169900,2000-07-19,NA,NA,240310,158620
12194,290000,2015-12-21,NA,NA,273210,182840
12195,0,2008-10-02,NA,NA,270130,174230
12196,0,2009-06-17,0,2009-06-17,265440,161350
12197,4e+05,2023-11-20,NA,NA,277620,174510
12198,275000,2018-06-11,NA,NA,245490,161350
12199,203000,2001-04-03,NA,NA,334880,205520
12200,275000,2018-08-27,NA,NA,249690,163450
12201,185000,1994-03-31,NA,NA,265020,185220
12202,240000,2021-02-08,NA,NA,225960,145880
12203,377000,2022-08-11,3e+05,2009-06-04,258440,173460
12204,0,1978-09-19,NA,NA,256410,171640
12205,314000,2014-07-30,NA,NA,280070,194180
12206,0,1993-06-22,NA,NA,270480,171570
12207,350000,2020-12-14,NA,NA,273910,188090
12208,325000,2021-04-28,NA,NA,272790,185990
12209,267500,2016-08-12,NA,NA,275170,181440
12210,330000,2006-04-27,NA,NA,265160,184030
12211,325000,2006-03-24,NA,NA,280210,178920
12212,6e+05,2024-03-15,NA,NA,322070,208670
12213,279000,2021-03-02,NA,NA,253400,166180
12214,40000,1994-09-15,NA,NA,326620,229950
12215,262900,2018-07-24,325000,2009-11-18,265790,178360
12216,360000,2010-11-30,NA,NA,313460,236600
12217,255000,2017-02-06,NA,NA,286440,184870
12218,345000,2007-01-23,NA,NA,294700,195370
12219,3e+05,2003-04-14,NA,NA,297150,209300
12220,65000,2023-03-01,NA,NA,67830,47530
12221,360000,2018-07-02,NA,NA,289660,202650
12222,58000,1993-01-20,NA,NA,290640,201600
12223,63500,1993-02-23,NA,NA,256270,172900
