"pid","sale_price","sale_date","total_2024","total_2023","building_2024","building_2023","extra_2024","extra_2023","outb_2024","outb_2023","land_2024","land_2023"
16219,410000,2013-07-31,428750,314790,369180,267120,3150,2240,0,0,56420,45430
16220,410000,2015-06-30,400330,307300,347550,265580,3150,2240,0,0,49630,39480
16221,445000,2016-09-27,513870,327950,462280,287140,3150,2240,0,0,48440,38570
16222,442500,2020-08-27,454790,294770,396970,248990,3150,2240,0,0,54670,43540
16223,525000,2023-03-24,411250,315910,352940,269710,6580,5040,0,0,51730,41160
16224,386000,2020-12-31,378140,250250,326620,209440,3080,2240,0,0,48440,38570
16225,549900,2024-11-18,389340,275800,336910,234150,2940,2240,0,0,49490,39410
16226,680000,2024-11-19,422940,314230,354130,266980,12600,2240,8260,6860,47950,38150
16227,385000,2010-11-12,349300,261800,296380,221270,2940,2170,1820,0,48160,38360
16228,510000,2022-01-13,420210,344260,368130,302820,3010,2380,0,0,49070,39060
16229,210000,1992-10-23,272930,203140,221060,161980,2940,2170,0,0,48930,38990
16230,229000,1996-03-29,335650,239540,283360,198100,2940,2170,0,0,49350,39270
16231,285000,1992-02-13,392490,304990,329140,255010,6090,4410,6860,5460,50400,40110
16232,415000,2022-01-14,332500,287630,272860,240450,6090,4550,0,0,53550,42630
16233,0,1969-10-30,179340,169610,0,0,0,0,0,0,179340,169610
16234,0,1983-06-30,290080,195930,221550,149870,2870,0,700,560,64960,45500
16235,379900,2021-11-17,287280,206920,211330,150640,2940,2170,0,0,73010,54110
16236,141110,2014-11-24,265300,154560,195020,105210,3150,1890,0,420,67130,47040
16237,99900,2019-03-29,198730,127330,133490,81620,2590,1820,0,0,62650,43890
16238,0,2015-01-20,202930,142030,142800,99890,0,0,0,0,60130,42140
16239,0,1989-03-23,255780,176050,188720,129080,2730,1890,0,0,64330,45080
16240,175000,2011-08-18,237720,159880,178080,118090,0,0,0,0,59640,41790
16241,0,2016-09-27,218890,144620,154490,99050,2730,1960,0,420,61670,43190
16242,340000,2024-05-08,220010,145040,150920,96530,2730,1960,700,560,65660,45990
16243,0,2021-07-23,314440,213710,231980,161000,9030,0,1540,1260,71890,51450
16244,363000,2005-04-15,272790,187600,200480,135870,8960,7350,0,0,63350,44380
16245,230000,2014-06-18,463750,274330,396900,226800,3710,2800,840,1050,62300,43680
16246,385000,2013-10-24,335930,232750,264250,182000,6160,4760,1330,1050,64190,44940
16247,340000,2004-06-01,273210,185290,206570,138040,3010,2240,0,420,63630,44590
16248,290000,2015-08-31,278950,185780,210770,138040,3010,2100,0,0,65170,45640
16249,0,2015-07-07,260890,169470,192640,121520,2870,2030,1050,840,64330,45080
16250,265500,2019-09-19,263130,174510,195860,127400,2940,2030,0,0,64330,45080
16251,278000,2010-12-21,245070,171290,177870,120750,2730,5390,0,0,64470,45150
16252,0,2023-07-12,254660,162260,187390,115080,2870,2030,420,350,63980,44800
16253,190000,2019-06-20,250670,167580,177590,122150,11060,1960,0,0,62020,43470
16254,176000,2001-01-12,243040,158830,175070,111160,2800,2030,0,0,65170,45640
16255,165000,1998-05-04,303380,239050,215180,174090,7280,6440,18130,14490,62790,44030
16256,325000,2021-01-22,276710,197960,212100,152670,3150,2240,0,0,61460,43050
16257,329000,2015-07-27,311500,212100,243950,164010,5880,4480,0,420,61670,43190
16258,385000,2020-10-14,306600,252630,230650,198030,6370,4550,9660,8050,59920,42000
16259,214700,2014-11-20,228550,144970,163310,99260,2730,1960,0,0,62510,43750
16260,80000,2006-10-18,226240,138040,161000,92330,2730,1960,0,0,62510,43750
16261,0,2024-08-12,234850,147000,166810,99330,2730,1890,0,0,65310,45780
16262,260000,2013-06-14,239190,162050,170380,113190,2730,1960,3430,3010,62650,43890
16263,0,1997-09-15,261730,183260,170310,115570,2800,2030,12110,9100,76510,56560
16264,494000,2023-06-05,257040,175700,194320,131670,2800,2030,0,0,59920,42000
16265,435000,2005-10-21,279090,192220,212940,145250,4830,3990,0,0,61320,42980
16266,0,2021-01-11,338100,199220,272230,153020,2730,1960,0,0,63140,44240
16267,0,1979-08-01,238070,151340,169330,103110,5600,3990,0,0,63140,44240
16268,155000,1998-10-01,247100,147420,184030,103320,2730,1960,700,350,59640,41790
16269,322000,2006-05-31,229670,155260,158340,103880,2450,1890,8960,7490,59920,42000
16270,0,2024-12-17,262990,177450,200340,133490,2730,1960,0,0,59920,42000
16271,248000,2014-06-24,225470,148750,161910,104160,2730,1960,0,0,60830,42630
16272,317000,2006-11-30,225190,144410,160860,99260,2660,1890,840,630,60830,42630
16273,0,2021-10-20,249480,158410,177940,110600,2730,1960,3360,0,65450,45850
16274,152250,1994-02-02,260890,177240,197190,132440,2800,2030,700,560,60200,42210
16275,260000,2005-08-03,318290,201460,241920,154700,2940,2100,13230,2450,60200,42210
16276,349000,2023-05-01,247660,173810,181930,126840,1750,1750,0,420,63980,44800
16277,190000,1990-11-13,259000,172760,183960,119000,2800,1960,9450,7770,62790,44030
16278,145000,1994-09-16,242480,157640,176400,111300,2730,1960,0,0,63350,44380
16279,247500,2001-08-10,260190,179830,180180,122570,5530,3920,11340,9100,63140,44240
16280,225000,2015-08-05,266910,178430,191240,124250,2730,1960,11760,9380,61180,42840
16281,0,1970-12-21,239400,153370,174160,107730,2730,1890,0,0,62510,43750
16282,0,2023-12-26,285600,184940,200760,125930,5530,1890,11340,9520,67970,47600
16283,270000,2015-05-22,241640,166460,176190,120540,2800,2030,0,0,62650,43890
16284,0,1966-08-29,230790,166110,166600,121030,2520,1890,0,0,61670,43190
16285,0,1990-09-26,220080,147630,157640,103740,2520,1890,0,0,59920,42000
16286,295000,2005-09-27,247310,151830,184520,107870,2870,1960,0,0,59920,42000
16287,189000,2016-04-06,265160,183820,193760,135520,5250,1960,0,0,66150,46340
16288,215000,2015-11-20,246750,176120,174930,125720,2660,1960,0,0,69160,48440
16289,224900,2016-07-22,260400,172970,186480,122850,2660,1890,2450,0,68810,48230
